week_start,property_id,property_name,market,asset_stage,housing_type,units,occupancy,available_units,notices,traffic,tours,applications,signed_leases,renewals,asking_rent,effective_rent,concession_pct,avg_days_vacant,exposure_next_60,budget_noi,actual_noi
2026-03-22,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9524,15,6,116,51,19,9,3,1853.0,1840.0,0.0067,15.0,41,362615.0,345415.0
2026-03-29,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9675,10,4,62,28,8,4,3,1830.0,1819.0,0.0058,16.0,34,362615.0,347146.0
2026-04-05,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9381,20,6,99,39,15,7,3,1862.0,1838.0,0.0127,12.8,31,362615.0,339004.0
2026-04-12,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9317,22,8,119,62,23,10,5,1836.0,1819.0,0.0091,18.6,31,362615.0,333356.0
2026-04-19,MF001,Cedar Vista,San Antonio,Stabilized,Affordable,318,0.9483,16,5,82,35,14,9,2,1843.0,1837.0,0.0033,11.1,45,362615.0,343798.0
2026-01-04,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7349,41,4,183,62,20,12,2,1481.0,1409.0,0.0483,21.6,24,145549.0,99596.0
2026-01-11,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7557,38,4,222,112,33,16,2,1482.0,1412.0,0.0475,13.9,29,145549.0,102411.0
2026-01-18,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7455,40,4,142,60,17,12,2,1487.0,1407.0,0.0537,15.8,23,145549.0,100180.0
2026-01-25,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7618,37,4,189,63,26,14,2,1491.0,1427.0,0.0425,17.6,22,145549.0,104508.0
2026-02-01,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7535,38,2,159,77,29,20,1,1486.0,1415.0,0.0478,19.4,22,145549.0,102622.0
2026-02-08,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7732,35,3,175,64,24,13,2,1487.0,1415.0,0.0481,16.1,22,145549.0,105285.0
2026-02-15,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7669,36,4,171,88,34,21,2,1495.0,1422.0,0.0491,12.0,25,145549.0,104875.0
2026-02-22,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7876,33,3,170,85,30,19,1,1493.0,1430.0,0.042,17.0,26,145549.0,108300.0
2026-03-01,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7777,35,3,176,62,17,10,2,1498.0,1431.0,0.0448,20.2,21,145549.0,106522.0
2026-03-08,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7582,38,4,170,83,25,16,2,1493.0,1422.0,0.0476,18.1,18,145549.0,103144.0
2026-03-15,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7572,38,2,150,63,16,11,1,1508.0,1427.0,0.0537,14.8,22,145549.0,103367.0
2026-03-22,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7826,34,4,164,79,33,19,2,1503.0,1435.0,0.0453,16.8,27,145549.0,107657.0
2026-03-29,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7815,34,3,151,62,25,12,1,1500.0,1431.0,0.0461,16.2,23,145549.0,107341.0
2026-04-05,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.774,35,2,187,64,27,12,1,1499.0,1422.0,0.0513,18.6,14,145549.0,105705.0
2026-04-12,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7583,38,3,220,105,29,15,2,1524.0,1449.0,0.0492,20.0,21,145549.0,105075.0
2026-04-19,MF002,Mission Ridge,San Antonio,Lease-up,Senior,156,0.7681,36,3,188,90,32,15,2,1517.0,1453.0,0.0425,17.6,14,145549.0,107272.0
2026-01-04,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8964,19,3,138,53,21,13,2,1953.0,1897.0,0.0284,12.8,28,226380.0,193285.0
2026-01-11,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.896,19,3,96,35,10,7,1,1957.0,1902.0,0.0281,15.2,18,226380.0,193747.0
2026-01-18,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.9016,18,4,115,40,12,8,2,1959.0,1910.0,0.025,16.0,25,226380.0,195838.0
2026-01-25,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8833,21,3,93,44,12,6,2,1963.0,1900.0,0.0323,17.7,17,226380.0,191047.0
2026-02-01,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8999,18,3,130,60,16,11,2,1968.0,1917.0,0.0263,14.7,19,226380.0,196497.0
2026-02-08,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8961,19,2,96,34,12,6,1,1960.0,1903.0,0.0288,18.6,22,226380.0,193867.0
2026-02-15,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.9176,15,3,102,48,20,10,1,1972.0,1932.0,0.02,12.3,14,226380.0,201893.0
2026-02-22,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.9071,17,4,105,53,21,13,2,1981.0,1934.0,0.024,14.7,29,226380.0,199533.0
2026-03-01,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.9076,17,4,75,35,13,9,2,1974.0,1935.0,0.0198,11.6,22,226380.0,199740.0
2026-03-08,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8997,18,5,136,52,13,9,3,1981.0,1921.0,0.0304,12.6,29,226380.0,196812.0
2026-03-15,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.9009,18,5,103,40,17,11,3,1978.0,1932.0,0.0231,13.3,32,226380.0,198174.0
2026-03-22,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8889,20,3,113,51,20,10,2,1998.0,1947.0,0.0254,17.1,20,226380.0,197194.0
2026-03-29,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8908,20,2,155,65,18,12,1,1993.0,1941.0,0.0262,13.4,26,226380.0,196598.0
2026-04-05,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8858,21,5,127,61,20,14,3,2001.0,1953.0,0.0238,13.0,32,226380.0,196711.0
2026-04-12,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8839,21,4,105,38,14,8,2,2003.0,1960.0,0.0211,18.4,29,226380.0,197503.0
2026-04-19,MF003,Parkline,Austin,Turnaround,Market-rate,184,0.8783,22,2,122,60,24,14,1,1990.0,1931.0,0.0296,14.4,20,226380.0,193124.0
2026-01-04,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9358,12,3,86,44,16,11,2,2137.0,2120.0,0.0083,11.8,23,247772.0,225782.0
2026-01-11,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9613,7,3,48,16,5,2,1,2140.0,2136.0,0.002,16.2,23,247772.0,234309.0
2026-01-18,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9566,8,4,65,27,10,7,2,2142.0,2129.0,0.006,10.5,34,247772.0,232109.0
2026-01-25,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9518,9,5,62,25,8,4,3,2141.0,2120.0,0.0097,13.9,24,247772.0,229719.0
2026-02-01,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9726,5,5,48,23,7,4,2,2153.0,2136.0,0.0075,15.2,18,247772.0,236870.0
2026-02-08,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9568,8,3,68,28,8,5,2,2149.0,2138.0,0.0054,12.6,20,247772.0,233096.0
2026-02-15,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.973,5,4,59,22,8,5,2,2162.0,2152.0,0.005,10.2,21,247772.0,238617.0
2026-02-22,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9574,8,4,69,29,10,7,2,2160.0,2145.0,0.0072,14.9,25,247772.0,233833.0
2026-03-01,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9785,4,3,50,20,6,4,2,2162.0,2151.0,0.005,15.2,28,247772.0,239892.0
2026-03-08,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9658,6,3,48,19,8,4,2,2168.0,2168.0,0,12.3,30,247772.0,239277.0
2026-03-15,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9737,5,2,72,35,10,7,1,2169.0,2152.0,0.008,11.2,24,247772.0,238583.0
2026-03-22,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9554,8,5,71,25,8,5,3,2150.0,2144.0,0.0027,11.1,22,247772.0,233869.0
2026-03-29,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9492,9,3,80,40,15,8,2,2152.0,2126.0,0.0119,16.7,19,247772.0,230285.0
2026-04-05,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9349,12,3,86,40,13,8,1,2175.0,2162.0,0.0061,17.1,18,247772.0,230349.0
2026-04-12,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.958,8,3,69,32,10,5,1,2201.0,2184.0,0.0076,14.6,14,247772.0,238096.0
2026-04-19,MF004,Alta Quarry,Austin,Stabilized,Market-rate,184,0.9246,14,5,95,39,16,11,3,2203.0,2198.0,0.0023,12.4,21,247772.0,231631.0
2026-01-04,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7613,76,6,352,170,68,48,4,1855.0,1762.0,0.0498,11.3,53,371599.0,262084.0
2026-01-11,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7477,80,4,391,159,44,27,2,1858.0,1773.0,0.0456,17.2,31,371599.0,259513.0
2026-01-18,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7416,82,5,349,133,49,28,3,1858.0,1761.0,0.0525,14.5,34,371599.0,255151.0
2026-01-25,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7577,77,7,190,70,19,10,3,1858.0,1762.0,0.0513,21.8,42,371599.0,260904.0
2026-02-01,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7777,71,4,203,100,35,21,2,1864.0,1785.0,0.0423,14.6,33,371599.0,271331.0
2026-02-08,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7796,70,5,293,119,36,20,2,1862.0,1775.0,0.047,15.6,41,371599.0,270652.0
2026-02-15,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7595,76,5,238,113,42,21,3,1870.0,1774.0,0.0513,20.7,40,371599.0,263710.0
2026-02-22,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7747,72,5,197,76,23,11,3,1868.0,1781.0,0.0466,19.3,41,371599.0,269445.0
2026-03-01,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7693,73,7,358,149,59,37,3,1874.0,1793.0,0.0434,12.3,38,371599.0,270288.0
2026-03-08,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7614,76,6,284,102,32,17,3,1873.0,1781.0,0.0493,22.3,38,371599.0,264799.0
2026-03-15,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7754,71,8,344,152,42,23,5,1886.0,1800.0,0.0458,18.1,52,371599.0,273407.0
2026-03-22,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7803,70,8,311,141,46,25,4,1871.0,1790.0,0.0433,20.7,40,371599.0,273195.0
2026-03-29,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7766,71,8,334,132,51,25,4,1872.0,1777.0,0.051,19.3,47,371599.0,269640.0
2026-04-05,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.763,75,5,340,147,45,30,3,1901.0,1813.0,0.0464,20.3,48,371599.0,270889.0
2026-04-12,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.7744,72,8,203,92,37,22,3,1905.0,1807.0,0.0514,16.3,47,371599.0,273147.0
2026-04-19,MF005,Live Oak Crossing,Irving,Lease-up,Affordable,318,0.751,79,6,256,87,30,15,4,1886.0,1805.0,0.0432,24.2,49,371599.0,265400.0
2026-01-04,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.9008,27,7,125,63,16,8,3,1918.0,1867.0,0.0266,16.5,41,333516.0,287093.0
2026-01-11,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8763,34,7,147,66,23,15,3,1919.0,1871.0,0.0253,16.5,35,333516.0,279578.0
2026-01-18,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.905,26,6,102,35,11,6,4,1922.0,1884.0,0.0199,15.4,35,333516.0,291201.0
2026-01-25,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8912,30,6,165,85,29,14,3,1928.0,1868.0,0.0313,12.0,34,333516.0,283502.0
2026-02-01,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.91,25,5,92,35,14,6,3,1925.0,1871.0,0.0283,17.3,32,333516.0,289962.0
2026-02-08,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8949,29,7,97,40,13,9,3,1928.0,1887.0,0.021,15.7,34,333516.0,288113.0
2026-02-15,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.9082,25,7,122,55,22,10,4,1932.0,1884.0,0.025,17.7,26,333516.0,292047.0
2026-02-22,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8901,30,6,139,47,13,7,3,1935.0,1894.0,0.021,15.4,32,333516.0,288016.0
2026-03-01,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8993,28,7,109,51,15,9,4,1952.0,1909.0,0.0219,13.6,27,333516.0,292609.0
2026-03-08,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.9145,24,6,128,49,15,7,4,1947.0,1907.0,0.0205,15.5,36,333516.0,297130.0
2026-03-15,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8973,28,5,147,73,19,11,3,1943.0,1896.0,0.0245,15.5,32,333516.0,290421.0
2026-03-22,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8786,34,7,153,73,20,12,4,1958.0,1905.0,0.0271,14.9,38,333516.0,284706.0
2026-03-29,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8737,35,4,181,81,29,14,2,1953.0,1898.0,0.0282,14.0,37,333516.0,282333.0
2026-04-05,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8704,36,8,169,63,22,14,3,1968.0,1913.0,0.028,17.6,34,333516.0,283450.0
2026-04-12,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8697,36,5,143,51,21,11,3,1947.0,1896.0,0.0263,19.5,31,333516.0,281001.0
2026-04-19,MF006,Riverbend,Dallas Fort Worth,Turnaround,Senior,276,0.8623,38,7,191,98,40,27,5,1968.0,1920.0,0.0243,11.8,48,333516.0,282242.0
2026-01-04,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9677,5,2,34,14,6,4,1,1753.0,1738.0,0.0088,13.5,22,172308.0,162496.0
2026-01-11,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.943,9,3,56,27,8,6,2,1754.0,1733.0,0.0121,13.5,22,172308.0,157704.0
2026-01-18,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9567,7,2,46,19,6,4,1,1757.0,1745.0,0.0068,12.2,23,172308.0,161057.0
2026-01-25,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9665,5,3,52,24,10,6,2,1762.0,1750.0,0.007,9.5,22,172308.0,163682.0
2026-02-01,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9636,6,2,62,30,8,5,1,1768.0,1768.0,0.0003,10.3,14,172308.0,164379.0
2026-02-08,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9751,4,4,31,11,3,2,2,1762.0,1762.0,0.0002,17.4,19,172308.0,166037.0
2026-02-15,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.966,5,2,51,19,8,4,1,1762.0,1749.0,0.0072,12.6,17,172308.0,163624.0
2026-02-22,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9573,7,4,81,39,12,6,2,1767.0,1758.0,0.0047,11.9,20,172308.0,162329.0
2026-03-01,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9648,5,3,55,24,9,4,2,1777.0,1777.0,0.0001,15.9,15,172308.0,166383.0
2026-03-08,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9582,7,2,61,28,12,6,1,1775.0,1761.0,0.008,17.6,21,172308.0,162529.0
2026-03-15,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.953,7,3,84,42,17,8,2,1765.0,1745.0,0.0115,11.7,25,172308.0,160944.0
2026-03-22,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9429,9,2,56,21,6,4,1,1781.0,1765.0,0.0095,13.2,23,172308.0,160615.0
2026-03-29,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9395,9,2,52,20,6,4,1,1775.0,1758.0,0.0093,11.9,20,172308.0,160022.0
2026-04-05,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9476,8,4,60,21,9,5,2,1773.0,1770.0,0.0017,11.6,26,172308.0,162393.0
2026-04-12,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9499,8,2,66,33,9,5,1,1769.0,1757.0,0.0067,11.3,18,172308.0,161071.0
2026-04-19,MF007,Canyon Commons,Houston,Stabilized,Market-rate,156,0.9267,11,2,59,25,10,6,1,1787.0,1783.0,0.0022,15.0,21,172308.0,160227.0
2026-01-04,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7461,40,4,157,78,33,19,2,1587.0,1516.0,0.0448,17.1,28,156000.0,108157.0
2026-01-11,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7491,39,2,226,80,32,15,1,1589.0,1518.0,0.0445,20.9,22,156000.0,109266.0
2026-01-18,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7534,38,2,145,53,22,14,1,1592.0,1513.0,0.05,20.8,21,156000.0,109679.0
2026-01-25,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7749,35,2,108,47,18,12,1,1598.0,1527.0,0.044,21.0,18,156000.0,113714.0
2026-02-01,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7821,34,3,133,58,21,14,1,1598.0,1522.0,0.0473,13.1,19,156000.0,114195.0
2026-02-08,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.76,37,2,153,57,23,11,1,1592.0,1517.0,0.0472,17.8,17,156000.0,110985.0
2026-02-15,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7644,37,3,174,70,25,12,1,1605.0,1527.0,0.0489,19.3,15,156000.0,111647.0
2026-02-22,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.759,38,4,196,99,37,24,2,1597.0,1524.0,0.0461,13.3,23,156000.0,110554.0
2026-03-01,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7815,34,4,165,61,19,9,3,1610.0,1544.0,0.0409,18.4,25,156000.0,115954.0
2026-03-08,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7613,37,3,195,93,31,20,2,1606.0,1524.0,0.0509,14.3,16,156000.0,111414.0
2026-03-15,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7706,36,4,127,43,11,5,2,1597.0,1528.0,0.0433,20.5,18,156000.0,112818.0
2026-03-22,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7511,39,3,138,64,22,12,2,1617.0,1539.0,0.048,21.4,18,156000.0,110682.0
2026-03-29,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7616,37,4,135,56,16,10,2,1624.0,1554.0,0.0431,22.4,20,156000.0,113762.0
2026-04-05,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7723,36,2,193,76,32,23,1,1630.0,1558.0,0.0441,18.4,20,156000.0,115018.0
2026-04-12,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7645,37,4,141,47,14,7,3,1629.0,1543.0,0.053,18.2,23,156000.0,112766.0
2026-04-19,MF008,Bluebonnet Flats,Phoenix,Lease-up,Market-rate,156,0.7696,36,4,157,74,23,11,2,1602.0,1524.0,0.0488,18.7,27,156000.0,112418.0
2026-01-04,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8837,21,5,103,47,12,7,3,1536.0,1503.0,0.0215,13.6,31,178053.0,151400.0
2026-01-11,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8851,21,3,76,28,9,5,2,1537.0,1499.0,0.0247,15.0,22,178053.0,150919.0
2026-01-18,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.9092,17,5,111,40,13,6,2,1540.0,1510.0,0.0195,15.9,26,178053.0,155908.0
2026-01-25,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.9003,18,3,67,34,11,7,2,1541.0,1505.0,0.0234,18.7,29,178053.0,154348.0
2026-02-01,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8919,20,5,113,52,18,11,2,1543.0,1497.0,0.0298,14.4,22,178053.0,151547.0
2026-02-08,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.916,15,4,87,34,13,9,2,1545.0,1508.0,0.0243,15.9,22,178053.0,157422.0
2026-02-15,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8993,19,3,109,50,17,11,1,1555.0,1514.0,0.0259,16.4,18,178053.0,154329.0
2026-02-22,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.9171,15,4,87,45,15,7,2,1551.0,1513.0,0.0244,16.1,25,178053.0,157956.0
2026-03-01,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.893,20,2,75,38,10,7,1,1549.0,1509.0,0.0254,14.9,19,178053.0,152898.0
2026-03-08,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.9081,17,3,108,50,14,10,1,1547.0,1515.0,0.0208,15.7,26,178053.0,156381.0
2026-03-15,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8778,22,4,90,36,14,7,2,1565.0,1531.0,0.0217,13.9,27,178053.0,153257.0
2026-03-22,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.893,20,4,106,47,15,10,2,1568.0,1523.0,0.0284,13.9,23,178053.0,154240.0
2026-03-29,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8959,19,4,78,31,9,6,2,1565.0,1516.0,0.0317,17.4,22,178053.0,154339.0
2026-04-05,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8679,24,3,145,62,21,13,2,1574.0,1531.0,0.0275,12.0,17,178053.0,151255.0
2026-04-12,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8805,22,4,120,42,11,7,3,1560.0,1512.0,0.0306,13.0,27,178053.0,151198.0
2026-04-19,MF009,Juniper Yard,San Antonio,Turnaround,Affordable,184,0.8712,24,5,102,49,16,11,3,1557.0,1508.0,0.0311,16.3,27,178053.0,148911.0
2026-01-04,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9619,11,6,79,29,12,6,3,1586.0,1578.0,0.0052,17.8,39,275774.0,259031.0
2026-01-11,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9596,11,6,50,20,6,4,3,1587.0,1576.0,0.0068,16.3,29,275774.0,258757.0
2026-01-18,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9637,10,7,69,30,12,8,3,1593.0,1582.0,0.0066,15.5,49,275774.0,260736.0
2026-01-25,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9526,13,5,69,34,13,9,3,1589.0,1577.0,0.0072,17.0,29,275774.0,256934.0
2026-02-01,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9785,6,7,56,28,11,5,3,1590.0,1581.0,0.0059,14.8,32,275774.0,264404.0
2026-02-08,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9471,15,4,74,32,11,5,2,1592.0,1575.0,0.0104,18.1,29,275774.0,254499.0
2026-02-15,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9548,12,5,102,46,17,8,3,1601.0,1598.0,0.0015,13.1,31,275774.0,261535.0
2026-02-22,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9759,7,4,62,25,8,5,2,1604.0,1602.0,0.0011,14.9,34,275774.0,267146.0
2026-03-01,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.95,14,6,69,31,12,8,3,1601.0,1596.0,0.0028,15.8,32,275774.0,259188.0
2026-03-08,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9712,8,5,53,22,9,4,3,1593.0,1592.0,0.001,17.8,42,275774.0,264469.0
2026-03-15,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9532,13,6,69,24,6,4,4,1598.0,1592.0,0.0036,16.1,43,275774.0,259525.0
2026-03-22,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9446,15,4,90,40,10,6,2,1600.0,1599.0,0.0004,13.0,22,275774.0,258774.0
2026-03-29,MF010,Lantana Square,San Antonio,Stabilized,Senior,276,0.9463,15,7,111,39,16,9,4,1612.0,1607.0,0.0033,18.2,41,275774.0,259946.0
